ID_PV;EL_Filename;Rated_Power;Vmp_V;Imp_A;Voc_V;Isc_A;Crack_Type;Severity_Level;Power_Loss;Actual_Power;Crack_Area;HotSpot_Area;Edge_Damage;Num_Cracks;Inspection_Date;EL_FilePath;Data_Source
PV-023;220331141855815_0000000000000276;310;32.06.00;09.51;40.02.00;0,431944444;PID_Suspect_Point_Defects;Moderate;6;291;25.06.00;70.04.00;0;6200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331141855815_0000000000000276.jpg;Real_Inspection
PV-024;220331142027280_0000000000000277;310;32.06.00;09.51;40.02.00;0,431944444;Band_Crack+Hardware_Artifact;Moderate;6;291;27.03.00;73.01.00;0;7400;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331142027280_0000000000000277.jpg;Real_Inspection
PV-025;220331142144991_0000000000000278;310;32.06.00;09.51;40.02.00;0,431944444;Horizontal_Band+Finger_Crack;Severe;10;279;26.04.00;71.04.00;0;8900;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331142144991_0000000000000278.jpg;Real_Inspection
PV-026;220331142326567_0000000000000279;310;32.06.00;09.51;40.02.00;0,431944444;Scattered_Spot+Hardware_Artifact;Severe;10;279;27;74.08.00;0;9400;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331142326567_0000000000000279.jpg;Real_Inspection
PV-027;220331142455695_0000000000000280;310;32.06.00;09.51;40.02.00;0,431944444;Semicircular_Pressure_Mark;Severe;12;273;29.05.00;71.07.00;0;10800;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331142455695_0000000000000280.jpg;Real_Inspection
PV-028;220331142631095_0000000000000281;310;32.06.00;09.51;40.02.00;0,431944444;Minimal_Scattered;Minor;2;304;28.05.00;70.02.00;0;1100;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331142631095_0000000000000281.jpg;Real_Inspection
PV-029;220331142757712_0000000000000282;310;32.06.00;09.51;40.02.00;0,431944444;Dual_Zone_Damage;Severe;12;273;26.07.00;70.07.00;0;11200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331142757712_0000000000000282.jpg;Real_Inspection
PV-030;220331143117624_0000000000000283;310;32.06.00;09.51;40.02.00;0,431944444;Grid_Pattern_Fastener;Critical;18;254;28.08.00;72.02.00;1;15600;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331143117624_0000000000000283.jpg;Real_Inspection
PV-031;220331143244832_0000000000000284;310;32.06.00;09.51;40.02.00;0,431944444;Edge_Delamination+Multi_Dir_Crack;Severe;14;267;29.04.00;70.06.00;1;13200;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220331143244832_0000000000000284.jpg;Real_Inspection
PV-032;220401083043362_0000000000000297;310;32.06.00;09.51;40.02.00;0,431944444;Scattered_Spots+Minor_Band;Moderate;6;291;26.02.00;72.01.00;0;5400;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401083043362_0000000000000297.jpg;Real_Inspection
PV-033;220401084418245_0000000000000304;310;32.06.00;09.51;40.02.00;0,431944444;Multi_Mode+Hardware_Artifact;Critical;22;242;25.08.00;73.02.00;1;16800;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401084418245_0000000000000304.jpg;Real_Inspection
PV-034;220401092053936_0000000000000317;310;32.06.00;09.51;40.02.00;0,431944444;H_Band+Solder_Joint_Fatigue;Severe;14;267;26.09.00;71.04.00;0;12100;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401092053936_0000000000000317.jpg;Real_Inspection
PV-035;220401100046520_0000000000000321;310;32.06.00;09.51;40.02.00;0,431944444;Massive_Inactive_Bands;Critical;42;180;25.04.00;72.04.00;1;28500;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401100046520_0000000000000321.jpg;Real_Inspection
PV-036;220401132924500_0000000000000344;310;32.06.00;09.51;40.02.00;0,431944444;Different_Module_Type+Edge_Delamination;Critical;28;223;27.09.00;71.08.00;1;19200;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401132924500_0000000000000344.jpg;Real_Inspection
PV-037;220401133619881_0000000000000351;310;32.06.00;09.51;40.02.00;0,431944444;Catastrophic_Encapsulation_Fail+Exposed_Wiring;Catastrophic;55;140;26.08.00;72.01.00;1;38000;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401133619881_0000000000000351.jpg;Real_Inspection
PV-038;220401144150254_0000000000000354;310;32.06.00;09.51;40.02.00;0,431944444;Crystallographic_Crack_Propagation;Critical;22;242;28.05.00;73.04.00;0;16200;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401144150254_0000000000000354.jpg;Real_Inspection
PV-039;220401144858526_0000000000000357;310;32.06.00;09.51;40.02.00;0,431944444;Vertical_Ribbon_Failure+Pressure;Severe;18;254;27.02.00;71.06.00;0;14100;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401144858526_0000000000000357.jpg;Real_Inspection
PV-040;220401145025776_0000000000000358;310;32.06.00;09.51;40.02.00;0,431944444;Complete_Substing_Bypass_Failure;Critical;30;217;26.04.00;72.08.00;1;22000;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401145025776_0000000000000358.jpg;Real_Inspection
PV-041;220401145148827_0000000000000359;310;32.06.00;09.51;40.02.00;0,431944444;Minor_Band+Hardware_Artifact;Moderate;6;291;27.08.00;71.09.00;0;5600;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401145148827_0000000000000359.jpg;Real_Inspection
PV-042;220401145318755_0000000000000360;310;32.06.00;09.51;40.02.00;0,431944444;Different_Module_Spots;Moderate;10;279;27.02.00;73.01.00;0;8400;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401145318755_0000000000000360.jpg;Real_Inspection
PV-043;220401145448098_0000000000000361;310;32.06.00;09.51;40.02.00;0,431944444;Distributed_All_Column_Damage;Severe;14;267;28.06.00;71.05.00;0;11800;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401145448098_0000000000000361.jpg;Real_Inspection
PV-044;220401145615279_0000000000000362;310;32.06.00;09.51;40.02.00;0,431944444;Near_Perfect_Baseline;Good;1;307;29.02.00;73.08.00;0;400;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401145615279_0000000000000362.jpg;Real_Inspection
PV-045;220401150359358_0000000000000367;310;32.06.00;09.51;40.02.00;0,431944444;Left_Substing_Inactive;Severe;16;260;27.04.00;71.02.00;0;13000;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401150359358_0000000000000367.jpg;Real_Inspection
PV-046;220401150525348_0000000000000368;310;32.06.00;09.51;40.02.00;0,431944444;PID_Mechanical_Combined+Low_EL;Critical;24;236;26.08.00;72.09.00;1;17600;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401150525348_0000000000000368.jpg;Real_Inspection
PV-047;220401151035861_0000000000000371;310;32.06.00;09.51;40.02.00;0,431944444;Localized_Impact_Col2;Moderate;10;279;28.02.00;73.04.00;0;9100;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401151035861_0000000000000371.jpg;Real_Inspection
PV-048;220401151202654_0000000000000372;310;32.06.00;09.51;40.02.00;0,431944444;Scattered_Moderate_Spots;Moderate;6;291;27.05.00;72.06.00;0;5900;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401151202654_0000000000000372.jpg;Real_Inspection
PV-049;220401151413115_0000000000000373;310;32.06.00;09.51;40.02.00;0,431944444;Diagonal_Corner_Crack;Severe;14;267;26.09.00;71.08.00;0;11600;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220401151413115_0000000000000373.jpg;Real_Inspection
PV-050;220404131310186_0000000000000389;310;32.06.00;09.51;40.02.00;0,431944444;Cascade_Thermal_Shock_Crack;Critical;22;242;27.08.00;73.05.00;0;16400;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404131310186_0000000000000389.jpg;Real_Inspection
PV-051;220404132241322_0000000000000394;310;32.06.00;09.51;40.02.00;0,431944444;Glass_Delamination_Slab;Critical;30;217;26.05.00;72.02.00;1;21000;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404132241322_0000000000000394.jpg;Real_Inspection
PV-052;220404133440614_0000000000000400;310;32.06.00;09.51;40.02.00;0,431944444;Asymmetric_Right_Side_Damage;Severe;14;267;28.04.00;71.06.00;0;12200;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404133440614_0000000000000400.jpg;Real_Inspection
PV-053;220404133905077_0000000000000401;310;32.06.00;09.51;40.02.00;0,431944444;Circular_JBox_Artifact+Band;Severe;16;260;27.01.00;72.04.00;1;13600;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404133905077_0000000000000401.jpg;Real_Inspection
PV-054;220404134728462_0000000000000405;310;32.06.00;09.51;40.02.00;0,431944444;Large_Semicircular_Grounding_Lug;Severe;14;267;28.09.00;71.03.00;1;12400;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404134728462_0000000000000405.jpg;Real_Inspection
PV-055;220404142421995_0000000000000417;310;32.06.00;09.51;40.02.00;0,431944444;Scattered_Minor_Damage;Moderate;6;291;27.06.00;72.08.00;0;5200;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404142421995_0000000000000417.jpg;Real_Inspection
PV-056;220404142709051_0000000000000419;310;32.06.00;09.51;40.02.00;0,431944444;Comb_Brush_Pattern_Ribbon_Fail;Critical;48;161;26.03.00;71.09.00;1;32000;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404142709051_0000000000000419.jpg;Real_Inspection
PV-057;220404142834335_0000000000000420;310;32.06.00;09.51;40.02.00;0,431944444;Scattered_Moderate_Spots;Moderate;6;291;28.01.00;72.05.00;0;5800;04/04/2022;/content/drive/MyDrive/EL_Dataset_98/220404142834335_0000000000000420.jpg;Real_Inspection
PV-058;220405083447305_0000000000000433;310;32.06.00;09.51;40.02.00;0,431944444;Minor_Spots_Possible_Debris;Moderate;5;294;27.04.00;73.02.00;0;3600;04/05/2022;/content/drive/MyDrive/EL_Dataset_98/220405083447305_0000000000000433.jpg;Real_Inspection
PV-059;220405083753259_0000000000000434;310;32.06.00;09.51;40.02.00;0,431944444;Localized_Col23_Impact;Moderate;10;279;28.06.00;71.04.00;0;9200;04/05/2022;/content/drive/MyDrive/EL_Dataset_98/220405083753259_0000000000000434.jpg;Real_Inspection
PV-060;220405091933508_0000000000000448;310;32.06.00;09.51;40.02.00;0,431944444;Near_Perfect_Minimal;Good;2;304;27.09.00;72.08.00;0;900;04/05/2022;/content/drive/MyDrive/EL_Dataset_98/220405091933508_0000000000000448.jpg;Real_Inspection
PV-061;220405094019890_0000000000000452;310;32.06.00;09.51;40.02.00;0,431944444;Lower_Left_Moisture_Ingress;Moderate;6;291;26.05.00;71.08.00;1;6100;04/05/2022;/content/drive/MyDrive/EL_Dataset_98/220405094019890_0000000000000452.jpg;Real_Inspection
PV-062;220405094306918_0000000000000454;310;32.06.00;09.51;40.02.00;0,431944444;Minor_Scattered_Spots;Moderate;4;298;27.08.00;72.04.00;0;3200;04/05/2022;/content/drive/MyDrive/EL_Dataset_98/220405094306918_0000000000000454.jpg;Real_Inspection
PV-063;220519140143179_0000000000001176;310;32.06.00;09.51;40.02.00;0,431944444;Minor_Impact_HalfCut;Minor;3;301;28.04.00;73.01.00;0;2400;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519140143179_0000000000001176.jpg;Real_Inspection
PV-064;220519140303017_0000000000001177;310;32.06.00;09.51;40.02.00;0,431944444;Near_Perfect_HalfCut_Baseline;Good;1;307;29.06.00;74.02.00;0;350;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519140303017_0000000000001177.jpg;Real_Inspection
PV-065;220519140628320_0000000000001179;310;32.06.00;09.51;40.02.00;0,431944444;Localized_Impact_HalfCut;Moderate;5;294;28.02.00;72.09.00;0;4800;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519140628320_0000000000001179.jpg;Real_Inspection
PV-066;220519140810603_0000000000001180;310;32.06.00;09.51;40.02.00;0,431944444;Barcode_Vertical_Ribbon_Fail_HalfCut;Severe;14;267;27.05.00;71.06.00;0;12800;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519140810603_0000000000001180.jpg;Real_Inspection
PV-067;220519141739632_0000000000001184;310;32.06.00;09.51;40.02.00;0,431944444;Distributed_Spots_HalfCut;Moderate;6;291;28.01.00;72.04.00;0;6400;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519141739632_0000000000001184.jpg;Real_Inspection
PV-068;220519144233834_0000000000001197;310;32.06.00;09.51;40.02.00;0,431944444;Excellent_HalfCut_Baseline;Good;2;304;29.01.00;73.08.00;0;600;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519144233834_0000000000001197.jpg;Real_Inspection
PV-069;220519162855260_0000000000001252;310;32.06.00;09.51;40.02.00;0,431944444;PID_Suspect_Blobs_HalfCut;Moderate;10;279;27.03.00;71.05.00;0;8800;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519162855260_0000000000001252.jpg;Real_Inspection
PV-070;220519163447530_0000000000001255;310;32.06.00;09.51;40.02.00;0,431944444;Staircase_Crack_HalfCut;Moderate;12;273;28.06.00;72.01.00;0;10600;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519163447530_0000000000001255.jpg;Real_Inspection
PV-071;220519164123385_0000000000001257;310;32.06.00;09.51;40.02.00;0,431944444;Upper_Substing_Damage_HalfCut;Moderate;6;291;27.08.00;73.04.00;0;6100;5/19/2022;/content/drive/MyDrive/EL_Dataset_98/220519164123385_0000000000001257.jpg;Real_Inspection
PV-072;220520083721096_0000000000001258;310;32.06.00;09.51;40.02.00;0,431944444;Hybrid_Damage_HalfCut;Moderate;10;279;28.02.00;71.09.00;0;9200;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520083721096_0000000000001258.jpg;Real_Inspection
PV-073;220520083929069_0000000000001259;310;32.06.00;09.51;40.02.00;0,431944444;Diagonal_Sweep_Stress;Moderate;10;279;27.06.00;72.03.00;0;9600;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520083929069_0000000000001259.jpg;Real_Inspection
PV-074;220520084359901_0000000000001260;310;32.06.00;09.51;40.02.00;0,431944444;Dual_Mode_Band_PID;Severe;14;267;26.08.00;71.09.00;0;12600;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520084359901_0000000000001260.jpg;Real_Inspection
PV-075;220520085252578_0000000000001266;310;32.06.00;09.51;40.02.00;0,431944444;Complete_Upper_Left_Substing;Severe;16;260;27.04.00;72.01.00;0;13800;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520085252578_0000000000001266.jpg;Real_Inspection
PV-076;220520085427922_0000000000001267;310;32.06.00;09.51;40.02.00;0,431944444;Distributed_Aging_Bands;Moderate;10;279;28.02.00;71.04.00;0;9400;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520085427922_0000000000001267.jpg;Real_Inspection
PV-077;220520090751212_0000000000001273;310;32.06.00;09.51;40.02.00;0,431944444;Pressure_Mark+Minor_Spots;Moderate;6;291;27.09.00;73.02.00;0;5600;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520090751212_0000000000001273.jpg;Real_Inspection
PV-078;220520090932510_0000000000001274;310;32.06.00;09.51;40.02.00;0,431944444;Dual_Comb_Pattern_Ribbon_Fail;Critical;52;149;26.04.00;72.06.00;1;35000;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520090932510_0000000000001274.jpg;Real_Inspection
PV-079;220520095338679_0000000000001279;310;32.06.00;09.51;40.02.00;0,431944444;Diffuse_PID_Suspect;Moderate;10;279;27.06.00;71.08.00;0;8800;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520095338679_0000000000001279.jpg;Real_Inspection
PV-080;220520100709354_0000000000001288;310;32.06.00;09.51;40.02.00;0,431944444;Distributed_Low_Density;Moderate;6;291;28.04.00;72.05.00;0;5400;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520100709354_0000000000001288.jpg;Real_Inspection
PV-081;220520100849063_0000000000001289;310;32.06.00;09.51;40.02.00;0,431944444;Left_Side_Dominant_Damage;Moderate;10;279;27.08.00;71.09.00;0;9100;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520100849063_0000000000001289.jpg;Real_Inspection
PV-082;220520101017616_0000000000001290;310;32.06.00;09.51;40.02.00;0,431944444;Triple_Mode_Active_Encap_Failure;Catastrophic;62;118;26.06.00;72.03.00;1;42000;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520101017616_0000000000001290.jpg;Real_Inspection
PV-083;220520101649392_0000000000001292;310;32.06.00;09.51;40.02.00;0,431944444;Full_Col2_Failure+Comb_Onset;Critical;30;217;27.02.00;73.01.00;1;22800;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520101649392_0000000000001292.jpg;Real_Inspection
PV-084;220520102108772_0000000000001295;310;32.06.00;09.51;40.02.00;0,431944444;PID_Mechanical+EVA_Browning;Severe;14;267;28.01.00;71.06.00;0;12400;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520102108772_0000000000001295.jpg;Real_Inspection
PV-085;220520102546942_0000000000001298;310;32.06.00;09.51;40.02.00;0,431944444;Quadrant_Mounting_Damage;Severe;13;270;27.05.00;72.04.00;0;11600;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520102546942_0000000000001298.jpg;Real_Inspection
PV-086;220520103201547_0000000000001302;310;32.06.00;09.51;40.02.00;0,431944444;Comb_Onset_Col4;Severe;14;267;26.08.00;71.03.00;0;12200;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520103201547_0000000000001302.jpg;Real_Inspection
PV-087;220520103343106_0000000000001303;310;32.06.00;09.51;40.02.00;0,431944444;Staircase+Comb+Diffuse_Triple;Severe;16;260;27.01.00;72.08.00;0;14200;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520103343106_0000000000001303.jpg;Real_Inspection
PV-088;220520103518817_0000000000001304;310;32.06.00;09.51;40.02.00;0,431944444;Left_Substing_Partial_Fail;Moderate;10;279;28.04.00;71.05.00;0;9200;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520103518817_0000000000001304.jpg;Real_Inspection
PV-089;220520103708444_0000000000001305;310;32.06.00;09.51;40.02.00;0,431944444;PID_Suspect_Diffuse_Spread;Moderate;10;279;27.06.00;72.06.00;0;8900;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520103708444_0000000000001305.jpg;Real_Inspection
PV-090;220520103844272_0000000000001306;310;32.06.00;09.51;40.02.00;0,431944444;EVA_Delamination_Large_Zone;Severe;14;267;26.09.00;71.08.00;1;12600;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520103844272_0000000000001306.jpg;Real_Inspection
PV-091;220520104208702_0000000000001308;310;32.06.00;09.51;40.02.00;0,431944444;Vertical_Busbar_Ribbon_Fail;Severe;16;260;28.02.00;72.01.00;0;13800;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520104208702_0000000000001308.jpg;Real_Inspection
PV-092;220520105301040_0000000000001311;310;32.06.00;09.51;40.02.00;0,431944444;Extreme_Physical_Hardware_Anomaly;Critical;22;242;27.04.00;73.02.00;1;17400;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520105301040_0000000000001311.jpg;Real_Inspection
PV-093;220520105438783_0000000000001312;310;32.06.00;09.51;40.02.00;0,431944444;Dual_Comb_Onset+Moisture;Severe;16;260;26.08.00;71.09.00;1;14000;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520105438783_0000000000001312.jpg;Real_Inspection
PV-094;220520105915185_0000000000001315;310;32.06.00;09.51;40.02.00;0,431944444;Mature_Staircase_Crack;Severe;14;267;27.09.00;72.05.00;0;12400;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520105915185_0000000000001315.jpg;Real_Inspection
PV-095;220520110100050_0000000000001316;310;32.06.00;09.51;40.02.00;0,431944444;Triple_Mechanism_Accelerated;Critical;21;245;28.01.00;71.04.00;0;17000;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520110100050_0000000000001316.jpg;Real_Inspection
PV-096;220520110242804_0000000000001317;310;32.06.00;09.51;40.02.00;0,431944444;Localized_Upper_Left_Zone;Moderate;10;279;27.06.00;72.08.00;0;9000;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520110242804_0000000000001317.jpg;Real_Inspection
PV-097;220520110426458_0000000000001318;310;32.06.00;09.51;40.02.00;0,431944444;Multi_Zone_Comb_Onset+Diffuse;Severe;16;260;27.02.00;72.01.00;1;13800;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520110426458_0000000000001318.jpg;Real_Inspection
PV-098;220520110731550_0000000000001320;310;32.06.00;09.51;40.02.00;0,431944444;Distributed_Banding+Comb_Onset;Severe;15;264;28.04.00;71.06.00;0;12600;5/20/2022;/content/drive/MyDrive/EL_Dataset_98/220520110731550_0000000000001320.jpg;Real_Inspection
PV-099;220601144820_0000000000000001321;310;32.06.00;09.51;40.02.00;0,431944444;Random_Scatter_Crack+PID_Suspect_Blobs_HalfCut;Moderate;12;273;28.14.00;72.62;0;4355;04/01/2022;/content/drive/MyDrive/EL_Dataset_98/220601144820_0000000000000001321.jpg;Real_Inspection
PV-100;220601105657_0000000000000001322;310;32.06.00;09.51;40.02.00;0,431944444;Excellent_HalfCut_Baseline;Good;2;304;28.26.00;73.05.00;0;451;3/31/2022;/content/drive/MyDrive/EL_Dataset_98/220601105658_0000000000000001322.jpg;Real_Inspection
